6.096153855323791504e-01,3.860577046871185303e-01,7.860577106475830078e+00,1.410576934814453125e+02,4.543269157409667969e+00,4.456730842590332031e+00,3.151442337036132812e+01
7.865384817123413086e-01,4.341346025466918945e-01,6.850961685180664062e+00,1.704807739257812500e+02,3.850961446762084961e+00,4.110577106475830078e+00,2.045672988891601562e+01
6.480769515037536621e-01,3.812499940395355225e-01,3.713942337036132812e+01,1.029807662963867188e+02,4.759615361690521240e-01,7.485577106475830078e+00,3.127403831481933594e+01
9.442307949066162109e-01,3.091346025466918945e-01,2.771634674072265625e+01,1.791346130371093750e+02,4.024038314819335938e+00,4.024038314819335938e+00,1.324519252777099609e+01
7.288461327552795410e-01,5.110576748847961426e-01,1.358173084259033203e+01,3.548077011108398438e+01,8.004807472229003906e+00,6.360577106475830078e+00,1.781250000000000000e+01
8.211538195610046387e-01,2.610577046871185303e-01,1.593750000000000000e+01,1.150961532592773438e+02,1.514423131942749023e+00,8.177885055541992188e+00,2.574519157409667969e+01
8.634615540504455566e-01,5.687500238418579102e-01,2.367788505554199219e+01,1.566346130371093750e+02,4.889422893524169922e+00,2.466346263885498047e+00,3.199519157409667969e+01
7.173076868057250977e-01,3.956730663776397705e-01,3.983172988891601562e+01,9.605769348144531250e+01,7.745192527770996094e+00,3.850961446762084961e+00,1.012019252777099609e+01
6.057692170143127441e-01,3.235577046871185303e-01,2.704327011108398438e+01,7.009615325927734375e+01,8.221153616905212402e-01,4.759615361690521240e-01,2.838942337036132812e+01
9.788461327552795410e-01,2.899038493633270264e-01,5.168269157409667969e+00,6.057692527770996094e+00,6.490384340286254883e-01,3.418269157409667969e+00,3.247595977783203125e+01
8.249999880790710449e-01,1.216346174478530884e-01,1.425480747222900391e+01,1.990384674072265625e+01,8.350961685180664062e+00,1.774038434028625488e+00,3.463942337036132812e+01
6.019230484962463379e-01,4.245192408561706543e-01,2.502403831481933594e+01,1.047115402221679688e+02,3.158653736114501953e+00,6.100961685180664062e+00,1.997596168518066406e+01
9.173076748847961426e-01,4.004807770252227783e-01,1.661057662963867188e+01,1.600961608886718750e+02,5.581730842590332031e+00,8.610576629638671875e+00,1.276442337036132812e+01
7.634615302085876465e-01,5.495192408561706543e-01,1.492788505554199219e+01,1.722115325927734375e+02,7.139422893524169922e+00,4.975961685180664062e+00,1.973557662963867188e+01
